iter	Passed	Remaining
189	539	2298
190	541	2295
191	544	2291
192	547	2289
193	550	2286
194	553	2284
195	556	2282
196	559	2279
197	561	2275
198	565	2274
199	567	2270
200	570	2266
201	573	2264
202	576	2261
203	579	2259
204	581	2255
205	584	2251
206	587	2250
207	589	2246
208	592	2244
209	595	2239
210	598	2236
211	600	2232
212	602	2227
213	606	2226
214	608	2222
215	611	2219
216	614	2217
217	617	2214
218	620	2212
219	622	2208
220	625	2205
221	628	2202
222	631	2199
223	634	2197
224	636	2193
225	639	2190
226	642	2186
227	645	2184
228	647	2181
229	650	2178
230	653	2175
231	656	2172
232	659	2170
233	662	2167
234	664	2164
235	667	2161
236	670	2158
237	673	2155
238	675	2151
239	679	2150
240	681	2146
241	684	2144
242	687	2141
243	690	2137
244	692	2135
245	695	2132
246	698	2129
247	701	2125
248	703	2122
249	706	2119
250	709	2118
251	712	2116
252	715	2113
253	718	2110
254	721	2106
255	723	2104
256	726	2101
257	730	2099
258	733	2097
259	736	2095
260	739	2092
261	741	2088
262	744	2085
263	747	2083
264	750	2080
265	752	2077
266	755	2074
267	758	2072
268	761	2069
269	764	2067
270	767	2065
271	770	2062
272	773	2059
273	776	2057
274	779	2054
275	781	2051
276	784	2048
277	787	2045
278	790	2042
279	793	2040
280	796	2037
281	798	2033
282	801	2030
283	804	2027
284	806	2023
285	809	2021
286	812	2017
287	814	2014
288	817	2010
289	820	2007
290	822	2005
291	825	2002
292	828	2000
293	831	1997
294	834	1994
295	837	1992
296	840	1989
297	843	1987
298	846	1985
299	850	1983
300	852	1980
301	855	1977
302	858	1974
303	861	1972
304	864	1969
305	867	1967
306	870	1964
307	873	1963
308	876	1960
309	879	1958
310	883	1956
311	886	1954
312	889	1952
313	893	1951
314	896	1949
315	900	1948
316	903	1947
317	907	1946
318	910	1944
319	914	1943
320	917	1941
321	921	1940
322	924	1937
323	927	1935
324	930	1932
325	933	1929
326	936	1927
327	939	1924
328	942	1922
329	945	1918
330	948	1916
331	951	1913
332	953	1910
333	957	1908
334	959	1905
335	962	1902
336	965	1899
337	968	1897
338	971	1895
339	974	1892
340	977	1889
341	981	1888
342	983	1884
343	987	1883
344	990	1880
345	993	1877
346	996	1875
347	999	1873
348	1002	1870
349	1006	1868
350	1009	1866
351	1012	1864
352	1015	1861
353	1019	1860
354	1022	1858
355	1026	1856
356	1029	1854
357	1032	1851
358	1036	1850
359	1039	1847
360	1042	1845
361	1045	1843
362	1048	1840
363	1052	1839
364	1056	1838
365	1060	1837
366	1063	1834
367	1067	1832
368	1069	1829
369	1073	1828
370	1076	1825
371	1080	1823
372	1083	1821
373	1087	1820
374	1090	1817
375	1093	1815
376	1096	1812
377	1099	1809
378	1102	1806
379	1106	1804
380	1109	1802
381	1112	1800
382	1115	1797
383	1118	1794
384	1121	1791
385	1125	1789
386	1128	1787
387	1131	1784
388	1134	1782
389	1137	1779
390	1140	1776
391	1143	1772
392	1145	1769
393	1148	1766
394	1151	1763
395	1154	1760
396	1157	1757
397	1160	1755
398	1163	1752
399	1166	1750
400	1169	1746
401	1172	1744
402	1175	1741
403	1177	1737
404	1180	1734
405	1183	1732
406	1187	1729
407	1190	1727
408	1193	1724
409	1196	1721
410	1199	1719
411	1202	1716
412	1205	1713
413	1208	1710
414	1212	1708
415	1215	1706
416	1218	1703
417	1221	1700
418	1223	1697
419	1227	1695
420	1230	1691
421	1233	1688
422	1235	1685
423	1239	1683
424	1242	1680
425	1246	1679
426	1250	1677
427	1253	1675
428	1256	1672
429	1259	1669
430	1262	1666
431	1265	1663
432	1268	1660
433	1271	1657
434	1273	1654
435	1276	1651
436	1279	1648
437	1282	1645
438	1285	1642
439	1288	1639
440	1290	1636
441	1293	1632
442	1296	1630
443	1300	1627
444	1303	1625
445	1305	1621
446	1308	1619
447	1311	1616
448	1314	1613
449	1317	1610
450	1320	1607
451	1323	1604
452	1325	1600
453	1328	1597
454	1331	1594
455	1333	1591
456	1336	1588
457	1339	1585
458	1342	1582
459	1346	1580
460	1348	1576
461	1351	1573
462	1354	1570
463	1357	1568
464	1360	1564
465	1363	1561
466	1365	1558
467	1368	1555
468	1370	1551
469	1372	1548
470	1375	1544
471	1377	1540
472	1379	1537
473	1382	1533
474	1384	1530
475	1386	1526
476	1388	1522
477	1390	1518
478	1392	1514
479	1394	1510
480	1396	1507
481	1399	1503
482	1401	1499
483	1403	1496
484	1405	1492
485	1407	1488
486	1409	1484
487	1411	1481
488	1413	1477
489	1416	1473
490	1418	1470
491	1420	1466
492	1422	1462
493	1424	1459
494	1426	1455
495	1428	1451
496	1431	1448
497	1433	1444
498	1435	1441
499	1437	1437
500	1440	1434
501	1442	1431
502	1445	1427
503	1447	1424
504	1450	1421
505	1452	1418
506	1454	1414
507	1457	1411
508	1459	1407
509	1461	1404
510	1464	1401
511	1466	1397
512	1469	1394
513	1471	1391
514	1474	1388
515	1477	1385
516	1479	1382
517	1482	1379
518	1484	1376
519	1487	1372
520	1489	1369
521	1492	1366
522	1494	1363
523	1497	1360
524	1499	1356
525	1502	1353
526	1504	1350
527	1506	1346
528	1509	1343
529	1511	1340
530	1513	1336
531	1516	1333
532	1518	1330
533	1521	1327
534	1524	1324
535	1526	1321
536	1529	1318
537	1532	1315
538	1534	1312
539	1537	1309
540	1539	1306
541	1542	1303
542	1544	1300
543	1547	1297
544	1550	1294
545	1552	1290
546	1554	1287
547	1556	1284
548	1558	1280
549	1561	1277
550	1563	1273
551	1565	1270
552	1567	1267
553	1570	1264
554	1572	1260
555	1574	1257
556	1576	1254
557	1578	1250
558	1581	1247
559	1583	1244
560	1585	1240
561	1587	1237
562	1590	1234
563	1592	1231
564	1595	1228
565	1597	1225
566	1600	1221
567	1603	1219
568	1605	1216
569	1608	1213
570	1610	1210
571	1612	1206
572	1615	1203
573	1618	1201
574	1620	1197
575	1623	1194
576	1625	1191
577	1627	1188
578	1630	1185
579	1632	1182
580	1635	1179
581	1637	1175
582	1639	1172
583	1642	1169
584	1644	1166
585	1646	1163
586	1648	1160
587	1650	1156
588	1652	1153
589	1655	1150
590	1657	1147
591	1660	1144
592	1662	1141
593	1665	1138
594	1668	1135
595	1670	1132
596	1673	1129
597	1675	1126
598	1677	1123
599	1680	1120
600	1682	1116
601	1684	1113
602	1686	1110
603	1689	1107
604	1691	1104
605	1693	1101
606	1696	1098
607	1698	1094
608	1700	1091
609	1702	1088
610	1704	1085
611	1707	1082
612	1709	1079
613	1711	1076
614	1714	1073
615	1716	1070
616	1718	1066
617	1721	1064
618	1723	1061
619	1725	1057
620	1728	1054
621	1730	1051
622	1732	1048
623	1735	1045
624	1738	1042
625	1740	1040
626	1743	1037
627	1745	1033
628	1748	1031
629	1750	1028
630	1753	1025
631	1755	1022
632	1758	1019
633	1760	1016
634	1763	1013
635	1765	1010
636	1768	1007
637	1770	1004
638	1773	1001
639	1776	999
640	1778	996
641	1781	993
642	1783	990
643	1786	987
644	1788	984
645	1791	981
646	1793	978
647	1796	975
648	1798	972
649	1801	970
650	1804	967
651	1807	964
652	1809	961
653	1812	958
654	1815	956
655	1818	953
656	1821	950
657	1823	947
658	1827	945
659	1829	942
660	1832	939
661	1835	937
662	1837	934
663	1840	931
664	1843	928
665	1846	926
666	1849	923
667	1851	920
668	1855	917
669	1857	914
670	1860	912
671	1862	909
672	1865	906
673	1867	903
674	1870	900
675	1872	897
676	1875	894
677	1877	891
678	1880	888
679	1882	886
680	1885	883
681	1887	880
682	1889	877
683	1892	874
684	1895	871
685	1897	868
686	1900	865
687	1902	862
688	1904	859
689	1907	856
690	1909	853
691	1911	850
692	1914	847
693	1916	844
694	1919	842
695	1921	839
696	1923	836
697	1926	833
698	1928	830
699	1931	827
700	1933	824
701	1935	821
702	1938	818
703	1941	816
704	1943	813
705	1946	810
706	1948	807
707	1950	804
708	1953	801
709	1955	798
710	1957	795
711	1959	792
712	1962	789
713	1964	786
714	1966	784
715	1969	781
716	1971	778
717	1973	775
718	1975	772
719	1978	769
720	1980	766
721	1982	763
722	1984	760
723	1986	757
724	1988	754
725	1991	751
726	1993	748
727	1996	745
728	1998	742
729	2000	739
730	2002	736
731	2005	734
732	2007	731
733	2009	728
734	2011	725
735	2014	722
736	2016	719
737	2018	716
738	2021	713
739	2023	710
740	2025	708
741	2027	705
742	2029	702
743	2032	699
744	2034	696
745	2037	693
746	2039	690
747	2041	687
748	2043	684
749	2045	681
750	2047	679
751	2050	676
752	2053	673
753	2055	670
754	2058	667
755	2060	665
756	2063	662
757	2065	659
758	2067	656
759	2070	653
760	2072	650
761	2074	648
762	2076	645
763	2079	642
764	2081	639
765	2083	636
766	2086	633
767	2088	630
768	2090	627
769	2092	625
770	2095	622
771	2097	619
772	2100	616
773	2102	613
774	2105	611
775	2107	608
776	2110	605
777	2113	603
778	2115	600
779	2119	597
780	2121	594
781	2124	592
782	2127	589
783	2129	586
784	2132	583
785	2134	581
786	2136	578
787	2139	575
788	2141	572
789	2143	569
790	2146	567
791	2148	564
792	2150	561
793	2152	558
794	2154	555
795	2156	552
796	2158	549
797	2160	546
798	2162	544
799	2165	541
800	2167	538
801	2170	535
802	2173	533
803	2175	530
804	2178	527
805	2180	524
806	2183	522
807	2185	519
808	2187	516
809	2189	513
810	2192	510
811	2194	508
812	2196	505
813	2199	502
814	2201	499
815	2203	496
816	2205	494
817	2207	491
818	2210	488
819	2212	485
820	2215	482
821	2217	480
822	2219	477
823	2221	474
824	2224	471
825	2226	469
826	2228	466
827	2231	463
828	2233	460
829	2235	457
830	2238	455
831	2240	452
832	2242	449
833	2245	446
834	2247	444
835	2249	441
836	2252	438
837	2254	435
838	2256	433
839	2258	430
840	2260	427
841	2262	424
842	2264	421
843	2266	418
844	2268	416
845	2271	413
846	2273	410
847	2275	407
848	2277	405
849	2280	402
850	2282	399
851	2284	396
852	2286	394
853	2289	391
854	2291	388
855	2293	385
856	2296	383
857	2298	380
858	2300	377
859	2303	374
860	2305	372
861	2307	369
862	2310	366
863	2312	364
864	2314	361
865	2317	358
866	2319	355
867	2321	353
868	2323	350
869	2325	347
870	2327	344
871	2330	342
872	2332	339
873	2334	336
874	2337	333
875	2339	331
876	2341	328
877	2344	325
878	2346	322
879	2348	320
880	2350	317
881	2352	314
882	2354	312
883	2357	309
884	2359	306
885	2361	303
886	2363	301
887	2366	298
888	2368	295
889	2370	293
890	2372	290
891	2375	287
892	2377	284
893	2379	282
894	2382	279
895	2384	276
896	2386	274
897	2389	271
898	2391	268
899	2393	265
900	2396	263
901	2398	260
902	2400	257
903	2403	255
904	2405	252
905	2408	249
906	2410	247
907	2412	244
908	2415	241
909	2417	239
910	2419	236
911	2422	233
912	2424	231
913	2426	228
914	2429	225
915	2431	222
916	2433	220
917	2436	217
918	2438	214
919	2441	212
920	2443	209
921	2446	206
922	2448	204
923	2451	201
924	2454	198
925	2456	196
926	2458	193
927	2461	190
928	2463	188
929	2465	185
930	2468	182
931	2470	180
932	2472	177
933	2475	174
934	2477	172
935	2480	169
936	2482	166
937	2484	164
938	2487	161
939	2489	158
940	2491	156
941	2493	153
942	2496	150
943	2498	148
944	2500	145
945	2502	142
946	2504	140
947	2506	137
948	2509	134
949	2511	132
950	2514	129
951	2516	126
952	2518	124
953	2521	121
954	2523	118
955	2525	116
956	2528	113
957	2530	110
958	2531	108
959	2533	105
960	2536	102
961	2538	100
962	2540	97
963	2543	94
964	2545	92
965	2547	89
966	2549	87
967	2551	84
968	2554	81
969	2556	79
970	2558	76
971	2561	73
972	2563	71
973	2565	68
974	2568	65
975	2570	63
976	2572	60
977	2575	57
978	2577	55
979	2580	52
980	2583	50
981	2585	47
982	2588	44
983	2590	42
984	2592	39
985	2595	36
986	2597	34
987	2600	31
988	2602	28
989	2604	26
990	2606	23
991	2609	21
992	2611	18
993	2614	15
994	2616	13
995	2619	10
996	2621	7
997	2624	5
998	2626	2
999	2629	0
