iter	Logloss
0	0.6885801455
1	0.6843033656
2	0.6792663746
3	0.6746385617
4	0.6712821687
5	0.666276288
6	0.6630360917
7	0.6598092117
8	0.6556700041
9	0.6529223374
10	0.6489839967
11	0.6445514368
12	0.6414493457
13	0.6383737039
14	0.6351986022
15	0.6328750309
16	0.6290537724
17	0.6262775677
18	0.6230440089
19	0.6206322204
20	0.6182829578
21	0.6161261753
22	0.6139144733
23	0.6119774918
24	0.6090805013
25	0.6063633037
26	0.6043188361
27	0.6016626647
28	0.5992928306
29	0.5970201652
30	0.5953241427
31	0.593703622
32	0.592305559
33	0.5904770821
34	0.5889159619
35	0.5866579631
36	0.5850583873
37	0.5832249866
38	0.5814336369
39	0.5799579017
40	0.5781100227
41	0.5760671856
42	0.574044317
43	0.5716020266
44	0.5700332404
45	0.5677954205
46	0.5665460444
47	0.5649760643
48	0.5631385796
49	0.5616355921
50	0.559707071
51	0.5586502222
52	0.5568283529
53	0.5555554476
54	0.5543523782
55	0.5529005181
56	0.5520605773
57	0.5505304833
58	0.5487707094
59	0.5478570803
60	0.5462614641
61	0.5447415381
62	0.5432318981
63	0.5424155209
64	0.5414566477
65	0.5407029725
66	0.539149705
67	0.5384161164
68	0.5376998455
69	0.5364602281
70	0.5355437712
71	0.5347624126
72	0.5339947399
73	0.5332515546
74	0.5321223853
75	0.5311273346
76	0.5302925
77	0.5290717713
78	0.5278563219
79	0.5267467269
80	0.526108074
81	0.5248330619
82	0.5236697907
83	0.5227892971
84	0.5217076985
85	0.5208241797
86	0.5197400254
87	0.5186809239
88	0.5181408314
89	0.5174051192
90	0.5168266792
91	0.5161829497
92	0.5155438309
93	0.5148786874
94	0.5139426441
95	0.5132224615
96	0.5120250156
97	0.5113186959
98	0.5102394747
99	0.5097542089
100	0.5087933758
101	0.5076483788
102	0.5067479193
103	0.5062838372
104	0.5054633395
105	0.50466724
106	0.5039441769
107	0.503471286
108	0.502782168
109	0.5020057874
110	0.5011466293
111	0.500397369
112	0.4998926084
113	0.4993993382
114	0.4985618617
115	0.4978281755
116	0.4970333346
117	0.496466452
118	0.4958195628
119	0.4952510506
120	0.4937508209
121	0.4933639056
122	0.4928062958
123	0.4920566621
124	0.4912864043
125	0.4907196879
126	0.490065785
127	0.4891680809
128	0.488633158
129	0.4878915984
130	0.4869107532
131	0.4861860473
132	0.4856785665
133	0.4848152848
134	0.484159305
135	0.4835615841
136	0.4829207914
137	0.482498312
138	0.4814743864
139	0.4806700837
140	0.4800387997
141	0.4792674948
142	0.4787168332
143	0.4781133918
144	0.4772864637
145	0.4764592737
146	0.4761096785
147	0.4754550342
148	0.4748134706
149	0.4743144586
150	0.4737069921
151	0.4733629223
152	0.4726422612
153	0.4722666003
154	0.4720846989
155	0.4714723431
156	0.4709137309
157	0.4703805342
158	0.4698739565
159	0.4692370607
160	0.4687107797
161	0.4681904896
162	0.4675667356
163	0.4669834823
164	0.4666464517
165	0.4664181915
166	0.4660547056
